Dorsal,Nombre,PosicionSet1,PosicionSet2,PosicionSet3,PosicionSet4,PosicionSet5,PuntosTot,PuntosBP,PuntosG-P,SaqueTot,SaqueErr,SaqueDirecto,RecepciónTot,RecepciónErr,RecepciónPos%,RecepciónExc.%,AtaqueTot,AtaqueErr,AtaqueBlo,AtaqueExc.,AtaqueExc. %,BloqueoPts
3,Ponzio Jonás Andrés,6,6,6,,,25,7,18,25,17,4,3,1,1,0 %,0 %,1,0 %,28,1,1
4,Portalance Jonathan,3,3,3,,,2,2,-,2,11,2,1,-,-,.,.,-,.,1,-,-
5,Dos Santos Cezar Moises,2,2,2,,,7,3,6,7,9,1,-,-,-,.,.,-,.,8,-,-
8,Dovale Fidalgo Mario (L),*,*,*,,,-,-,-1,-,-,-,-,30,1,63 %,53 %,30,63 %,-,-,-
10,Rodríguez Cáceres Nicolás Omar,,,*,,,-,-,-,-,-,-,-,-,-,.,.,-,.,-,-,-
11,Fernández López Fernando,5,5,5,,,1,-,-,1,13,-,-,-,-,.,.,-,.,5,-,1
12,Fuentes Rascón Mauro Isaac,,,,,,-,-,-,-,-,-,-,-,-,.,.,-,.,-,-,-
13,Gonzalo Díaz Luis,,,,,,-,-,-,-,-,-,-,-,-,.,.,-,.,-,-,-
16,Valiño Sanz Isaac,1,1,1,,,13,6,9,13,9,1,-,6,1,83 %,67 %,6,83 %,22,2,-
18,Demirovic Eldin,4,4,4,,,9,1,4,9,12,1,1,20,-,85 %,65 %,20,85 %,18,1,3
20,HIERREZUELO AGUIRRA  Raydel,,,*,,,-,-,-,-,2,-,-,-,-,.,.,-,.,-,-,-
