dorsal,nombre,1,2,3,4,5,Tot,BP,G-P,Err,Punto directo,Pos%,Exc.%,Blo,Exc.,Exc. %,Pts
3,Ponzio Jonás Andrés,6,6,6,,,0 %,7,18,1,4,1,0 %,0 %,28,1,1
4,Portalance Jonathan,3,3,3,,,.,2,-,-,2,-,.,.,1,-,-
5,Dos Santos Cezar Moises,2,2,2,,,.,3,6,-,1,-,.,.,8,-,-
8,Dovale Fidalgo Mario (L),*,*,*,,,53 %,-,-1,30,-,1,63 %,63 %,-,-,-
10,Rodríguez Cáceres Nicolás Omar,,,*,,,.,-,-,-,-,-,.,.,-,-,-
11,Fernández López Fernando,5,5,5,,,.,-,-,-,-,-,.,.,5,-,1
12,Fuentes Rascón Mauro Isaac,,,,,,.,-,-,-,-,-,.,.,-,-,-
13,Gonzalo Díaz Luis,,,,,,.,-,-,-,-,-,.,.,-,-,-
16,Valiño Sanz Isaac,1,1,1,,,67 %,6,9,6,1,1,83 %,83 %,22,2,-
18,Demirovic Eldin,4,4,4,,,65 %,1,4,20,1,-,85 %,85 %,18,1,3
20,HIERREZUELO AGUIRRA  Raydel,,,*,,,.,-,-,-,-,-,.,.,-,-,-
